문서개수	500
쇠고기	NNG	5.521460917862246
키우	VV	5.521460917862246
어이	NNG	5.521460917862246
운용	NNGJ	5.521460917862246
던지	VV	5.521460917862246
목욕탕	NNG	5.521460917862246
당혹	NNG	5.521460917862246
특히	MAG	5.521460917862246
일로	NNGJ	5.521460917862246
오히려	MAG	5.521460917862246
뿌리	NNG	5.521460917862246
키	VV	5.521460917862246
문로	NNGJ	5.521460917862246
비행기	NNG	5.521460917862246
깔끔이	NNGJ	5.521460917862246
난무	NNG	5.521460917862246
불허	NNG	5.521460917862246
색깔	NNG	5.521460917862246
꼴	NNG	5.521460917862246
성분	NNG	5.521460917862246
불가	NNG	5.521460917862246
순행	NNG	5.521460917862246
화면	NNGJ	5.521460917862246
관리사	NNGJ	5.521460917862246
중심	NNGJ	5.521460917862246
동이	NNGJ	5.521460917862246
가방	NNGJ	5.521460917862246
구미	NNGJ	5.521460917862246
론적	NNGJ	5.521460917862246
전국	NNG	5.521460917862246
장식	NNG	5.521460917862246
빼	VV	5.521460917862246
성에	NNG	5.521460917862246
앙시	NNG	5.521460917862246
잇몸	NNGJ	5.521460917862246
고생	NNG	5.521460917862246
띠	NNGJ	5.521460917862246
물체	NNGJ	5.521460917862246
문형	NNG	5.521460917862246
을리	VV	5.521460917862246
결	NNG	5.521460917862246
이제	MAG	5.521460917862246
줏대	NNG	5.521460917862246
트림	NNGJ	5.521460917862246
두째	NNG	5.521460917862246
미용	NNGJ	5.521460917862246
얇	VA	5.521460917862246
의좋	VA	5.521460917862246
우렁쉥	NNGJ	5.521460917862246
창문	NNGJ	5.521460917862246
청유형	NNG	5.521460917862246
기재	NNG	5.521460917862246
똑같	VA	5.521460917862246
감하	VV	5.521460917862246
후행	NNG	5.521460917862246
도취	NNGJ	5.521460917862246
배우	NNG	5.521460917862246
남자	NNG	5.521460917862246
이끌	VV	5.521460917862246
him	OL	5.521460917862246
특징짓	VV	5.521460917862246
허리	NNGJ	5.521460917862246
전제	NNGJ	5.521460917862246
38	NR	5.521460917862246
반갑	VA	5.521460917862246
먹지	NNGJ	5.521460917862246
씀벅씀벅	MAG	5.521460917862246
기록	NNG	5.521460917862246
때로는	MAG	5.521460917862246
주부	NNG	5.521460917862246
조카	NNGJ	5.521460917862246
때리	VV	5.521460917862246
어쩧	VA	5.521460917862246
잇	NNGJ	5.521460917862246
토르	NNG	5.521460917862246
광양자	NNGJ	5.521460917862246
19	NR	5.521460917862246
오기	NNG	5.521460917862246
snow	OLJ	5.521460917862246
자매	NNG	5.521460917862246
벨	NNGJ	5.521460917862246
개정	NNG	5.521460917862246
집기	NNG	5.521460917862246
엿	NNG	5.521460917862246
어둠	NNG	5.521460917862246
간접	NNG	5.521460917862246
음악	NNGJ	5.521460917862246
승낙	NNG	5.521460917862246
면한	NNG	5.521460917862246
익히	VV	5.521460917862246
지식	NNGJ	5.521460917862246
고객	NNG	5.521460917862246
밀	NNG	5.521460917862246
ㄹ	NNG	5.521460917862246
기와	NNG	5.521460917862246
pizza	OLJ	5.521460917862246
단골	NNGJ	5.521460917862246
오래	MAG	5.521460917862246
고작	MAG	5.521460917862246
대개	MAG	5.521460917862246
층층이	MAG	5.521460917862246
끓	VV	5.521460917862246
나아가	VV	5.521460917862246
있	NNGJ	5.521460917862246
화랑	NNG	5.521460917862246
파	NNG	5.521460917862246
경제적	NNG	5.521460917862246
오죽	MAG	5.521460917862246
게이힌	NNG	5.521460917862246
유익	NNG	5.521460917862246
Larsson	OL	5.521460917862246
솟	VV	5.521460917862246
효율적	NNG	5.521460917862246
부집게	NNGJ	5.521460917862246
검색기	NNGJ	5.521460917862246
소문자	NNGJ	5.521460917862246
Karl	OL	5.521460917862246
것을	NNG	5.521460917862246
언제쯤	NNG	5.521460917862246
천	NR	5.521460917862246
성명	NNGJ	5.521460917862246
애국가	NNG	5.521460917862246
새침	NNG	5.521460917862246
제일	NNG	5.521460917862246
짧	VA	5.521460917862246
만이	NNG	5.521460917862246
따오	VV	5.521460917862246
광범위	NNG	5.521460917862246
당일	NNG	5.521460917862246
칼럼	NNGJ	5.521460917862246
諾	OH	5.521460917862246
위기	NNG	5.521460917862246
헛되이	MAG	5.521460917862246
갈비집	NNG	5.521460917862246
ㅇ	NNG	5.521460917862246
조금	MAG	5.521460917862246
널뛰기	NNG	5.521460917862246
송두리째	MAG	5.521460917862246
여전히	MAG	5.521460917862246
쓸데	NNG	5.521460917862246
전세금	NNGJ	5.521460917862246
장학	NNG	5.521460917862246
나아	NNG	5.521460917862246
의식	NNGJ	5.521460917862246
담담	NNG	5.521460917862246
배움터	NNGJ	5.521460917862246
고면	NNGJ	5.521460917862246
초순	NNGJ	5.521460917862246
나름	NNGJ	5.521460917862246
불이	NNG	5.521460917862246
ㅈ	NNG	5.521460917862246
공직자	NNG	5.521460917862246
신붓감	NNG	5.521460917862246
마침내	MAG	5.521460917862246
공문	NNGJ	5.521460917862246
강좌	NNG	5.521460917862246
known	OL	5.521460917862246
발병	NNG	5.521460917862246
nz	OL	5.521460917862246
뉘앙스	NNGJ	5.521460917862246
택하	VV	5.521460917862246
신임	NNG	5.521460917862246
잇소리	NNGJ	5.521460917862246
지방	NNGJ	5.521460917862246
명분	NNGJ	5.521460917862246
출발점	NNGJ	5.521460917862246
밝혀지	VV	5.521460917862246
놀이	NNG	5.521460917862246
온	NNGJ	5.521460917862246
국립대	NNG	5.521460917862246
볼	NNG	5.521460917862246
바지	NNG	5.521460917862246
다하	VV	5.521460917862246
로마	NNG	5.521460917862246
보고	NNG	5.521460917862246
효용	NNG	5.521460917862246
영혼	NNGJ	5.521460917862246
기어다니	VV	5.521460917862246
약사	NNG	5.521460917862246
가이	VV	5.521460917862246
임	NNGJ	5.521460917862246
모든	MDT	5.521460917862246
제도	NNG	5.521460917862246
오리	NNG	5.521460917862246
적기	NNGJ	5.521460917862246
교과서	NNGJ	5.521460917862246
상관성	NNGJ	5.521460917862246
회원	NNGJ	5.521460917862246
특성	NNGJ	5.521460917862246
신랑	NNG	5.521460917862246
등교	NNG	5.521460917862246
밟	VV	5.521460917862246
상식	NNGJ	5.521460917862246
교도소	NNG	5.521460917862246
Samjuk-myeon	OLJ	5.521460917862246
줌	NNG	5.521460917862246
토지	NNGJ	5.521460917862246
씨름	NNG	5.521460917862246
Swedish	OL	5.521460917862246
관용구	NNGJ	5.521460917862246
고어	NNG	5.521460917862246
셋	NR	5.521460917862246
시다	NNG	5.521460917862246
동등	NNG	5.521460917862246
제품	NNG	5.521460917862246
사	MDN	5.521460917862246
피망	NNGJ	5.521460917862246
지리산	NNPJ	5.521460917862246
당인	NNG	5.521460917862246
왕십리	NNG	5.521460917862246
음가	NNGJ	5.521460917862246
기가	NNG	5.521460917862246
씌이	VV	5.521460917862246
그동안	NNG	5.521460917862246
금메달	NNGJ	5.521460917862246
송이도	NNG	5.521460917862246
윤	NNG	5.521460917862246
귀신	NNG	5.521460917862246
거울	NNGJ	5.521460917862246
천사	NNG	5.521460917862246
이주	NNG	5.521460917862246
보조적	NNG	5.521460917862246
부지	NNGJ	5.521460917862246
현대어	NNGJ	5.521460917862246
고은	NNGJ	5.521460917862246
예상	NNG	5.521460917862246
born	OL	5.521460917862246
약속	NNGJ	5.521460917862246
여럿	NNGJ	5.521460917862246
창세기	NNG	5.521460917862246
칙	NNGJ	5.521460917862246
그녀	NPJ	5.521460917862246
움	NNG	5.521460917862246
엑스포	NNGJ	5.521460917862246
별도	NNGJ	5.521460917862246
녹	NNGJ	5.521460917862246
시각	NNG	5.521460917862246
當之者	OH	5.521460917862246
유형	NNG	5.521460917862246
달러	NNGJ	5.521460917862246
태동	NNG	5.521460917862246
론	NNG	5.521460917862246
갈림길	NNGJ	5.521460917862246
거꾸로	MAGJ	5.521460917862246
증설	NNG	5.521460917862246
곡	NNG	5.521460917862246
주인공	NNGJ	5.521460917862246
서울대	NNG	5.521460917862246
루나무	NNGJ	5.521460917862246
Tage	OL	5.521460917862246
머물	VV	5.521460917862246
고유어	NNG	5.521460917862246
으레	MAG	5.521460917862246
위협	NNG	5.521460917862246
갔다오	VV	5.521460917862246
치아	NNG	5.521460917862246
줄	VV	5.521460917862246
31	NR	5.521460917862246
입	NNG	5.521460917862246
녹록	MAG	5.521460917862246
놀라	VV	5.521460917862246
범주	NNGJ	5.521460917862246
사하	VV	5.521460917862246
되	NNBJ	5.521460917862246
담당자	NNG	5.521460917862246
메달	NNGJ	5.521460917862246
조해일	NNG	5.521460917862246
올	NNGJ	5.521460917862246
무이	VV	5.521460917862246
원주	NNG	5.521460917862246
하세	NNG	5.521460917862246
campground	OLJ	5.521460917862246
2010	NR	5.521460917862246
症候群	OH	5.521460917862246
ㄷ	NNG	5.521460917862246
綠豆菜	OH	5.521460917862246
언어	NNG	5.521460917862246
좁	VA	5.521460917862246
신발장	NNG	5.521460917862246
꾀	VV	5.521460917862246
mirror	OLJ	5.521460917862246
불과	NNG	5.521460917862246
누님	NNG	5.521460917862246
자립성	NNGJ	5.521460917862246
사용법	NNGJ	5.521460917862246
담기	VV	5.521460917862246
피드백	NNG	5.521460917862246
세로	NNGJ	5.521460917862246
동생	NNGJ	5.521460917862246
열씨	NNG	5.521460917862246
류	NNG	5.521460917862246
언급	NNG	5.521460917862246
찬성	NNG	5.521460917862246
성경	NNGJ	5.521460917862246
자격	NNGJ	5.521460917862246
야심	NNGJ	5.521460917862246
이어진	NNGJ	5.521460917862246
장의	NNG	5.521460917862246
으례	MAG	5.521460917862246
다양성	NNG	5.521460917862246
잎	NNG	5.521460917862246
내주	VV	5.521460917862246
메	NNG	5.521460917862246
주의	NNG	5.521460917862246
워너비	NNGJ	5.521460917862246
인자	NNGJ	5.521460917862246
아버지	NNGJ	5.521460917862246
효렴	NNGJ	5.521460917862246
외국어	NNGJ	5.521460917862246
레짐	NNG	5.521460917862246
위안	NNGJ	5.521460917862246
주격	NNG	5.521460917862246
서서	NNG	5.521460917862246
샘	NNG	5.521460917862246
grens	OL	5.521460917862246
파프리카	NNGJ	5.521460917862246
부족	NNG	5.521460917862246
법칙	NNGJ	5.521460917862246
condition	OL	5.521460917862246
super	OLJ	5.521460917862246
언의	NNG	5.521460917862246
요즈음	NNG	5.521460917862246
태풍	NNGJ	5.521460917862246
의태어	NNGJ	5.521460917862246
Superman	OL	5.521460917862246
영화	NNG	5.521460917862246
제외	NNG	5.521460917862246
professor	OL	5.521460917862246
숍	NNGJ	5.521460917862246
Lund	OL	5.521460917862246
겨를	NNB	5.521460917862246
관광	NNG	5.521460917862246
you	OLJ	5.521460917862246
필요시	NNGJ	5.521460917862246
후반	NNGJ	5.521460917862246
후문	NNGJ	5.521460917862246
연세	NNG	5.521460917862246
당사	NNGJ	5.521460917862246
참고	NNGJ	5.521460917862246
존	NNG	5.521460917862246
하리	VV	5.521460917862246
대	VV	5.521460917862246
제대로	MAG	5.521460917862246
무시	NNG	5.521460917862246
Academy	OL	5.521460917862246
업종	NNGJ	5.521460917862246
들어오	VV	5.521460917862246
January	OL	5.521460917862246
결국	NNG	5.521460917862246
위치	NNGJ	5.521460917862246
중요	NNG	5.521460917862246
근	NNG	5.521460917862246
고도	NNGJ	5.521460917862246
사나이	NNGJ	5.521460917862246
SG	OL	5.521460917862246
성공률	NNG	5.521460917862246
오직	MAG	5.521460917862246
분리	NNG	5.521460917862246
사회자	NNGJ	5.521460917862246
올라오	VV	5.521460917862246
일기	NNG	5.521460917862246
05	NR	5.521460917862246
개의	NNG	5.521460917862246
순차적	NNGJ	5.521460917862246
벌쓰	VV	5.521460917862246
푯말	NNGJ	5.521460917862246
인류	NNGJ	5.521460917862246
Sinmunno	OLJ	5.521460917862246
야금야금	MAG	5.521460917862246
20	NR	5.521460917862246
오시	VV	5.521460917862246
켓	NNG	5.521460917862246
반면	NNG	5.521460917862246
대가	NNG	5.521460917862246
둘레	NNG	5.521460917862246
표지판	NNGJ	5.521460917862246
계속	MAG	5.521460917862246
그나마	MAG	5.521460917862246
얼	VV	5.521460917862246
가야금	NNG	5.521460917862246
승리	NNGJ	5.521460917862246
열의	NNGJ	5.521460917862246
꽃밭	NNGJ	5.521460917862246
기쁘	VA	5.521460917862246
신청	NNGJ	5.521460917862246
공무원	NNGJ	5.521460917862246
한낱	MAG	5.521460917862246
음화	NNGJ	5.521460917862246
갈비	NNG	5.521460917862246
더욱	MAG	5.521460917862246
가지	MAG	5.521460917862246
능성	NNGJ	5.521460917862246
띠	VV	5.521460917862246
놀	NNG	5.521460917862246
열거	NNG	5.521460917862246
절의	NNG	5.521460917862246
악보	NNGJ	5.521460917862246
살펴보	VV	5.521460917862246
및	MAG	5.521460917862246
광어	NNGJ	5.521460917862246
침샘	NNGJ	5.521460917862246
문예	NNG	5.521460917862246
초임	NNG	5.521460917862246
복	NNG	5.521460917862246
적인	NNG	5.521460917862246
주지	NNG	5.521460917862246
담임	NNGJ	5.521460917862246
배제	NNGJ	5.521460917862246
당지자	NNG	5.521460917862246
권리	NNG	5.521460917862246
기	VV	5.521460917862246
계산	NNGJ	5.521460917862246
푹	MAG	5.521460917862246
00	NRJ	5.521460917862246
ping	OL	5.521460917862246
도저히	MAG	5.521460917862246
계속	NNG	5.521460917862246
도무지	MAG	5.521460917862246
沈	OH	5.521460917862246
직업	NNGJ	5.521460917862246
단지	NNGJ	5.521460917862246
당면	NNG	5.521460917862246
정하	VV	5.521460917862246
상업적	NNG	5.521460917862246
다	JC	5.521460917862246
비통	NNG	5.521460917862246
애	NNG	5.521460917862246
유입	NNG	5.521460917862246
형성법	NNGJ	5.521460917862246
보직	NNGJ	5.521460917862246
때밀이	NNG	5.521460917862246
땅기	VV	5.521460917862246
감감	MAG	5.521460917862246
매체	NNGJ	5.521460917862246
노동자	NNG	5.521460917862246
물음표	NNG	5.521460917862246
행사	NNGJ	5.521460917862246
의학	NNG	5.521460917862246
현지	NNG	5.521460917862246
담당	NNG	5.521460917862246
디딤돌	NNGJ	5.521460917862246
상세히	MAG	5.521460917862246
살아남	VV	5.521460917862246
겨울	NNG	5.521460917862246
geneticist	OL	5.521460917862246
얻	VV	5.521460917862246
쉬라	NNG	5.521460917862246
캠프	NNGJ	5.521460917862246
구개	NNG	5.521460917862246
거래처	NNGJ	5.521460917862246
에이	VV	5.521460917862246
물품	NNGJ	5.521460917862246
단독	NNGJ	5.521460917862246
양	NNG	5.521460917862246
beotkkot	OL	5.521460917862246
상자	NNG	5.521460917862246
21	NR	5.521460917862246
지인	NNG	5.521460917862246
부자	NNG	5.521460917862246
수업	NNG	5.521460917862246
낙	NNG	5.521460917862246
부지런	NNG	5.521460917862246
은닉	NNG	5.521460917862246
September	OL	5.521460917862246
허리춤	NNGJ	5.521460917862246
오토	NNG	5.521460917862246
이형태	NNG	5.521460917862246
라이터	NNGJ	5.521460917862246
기적	NNG	5.521460917862246
23	NR	5.521460917862246
눈빛	NNGJ	5.521460917862246
해설집	NNGJ	5.521460917862246
영	NNG	5.521460917862246
고등학교	NNGJ	5.521460917862246
also	OL	5.521460917862246
덕분	NNGJ	5.521460917862246
named	OL	5.521460917862246
대안	NNGJ	5.521460917862246
특공대	NNG	5.521460917862246
시설물	NNG	5.521460917862246
결재	NNG	5.521460917862246
끈기	NNG	5.521460917862246
중심지	NNG	5.521460917862246
체중	NNG	5.521460917862246
이내	NNGJ	5.521460917862246
참게	NNGJ	5.521460917862246
ㅊ	NNGJ	5.521460917862246
신료	NNGJ	5.521460917862246
빨갛	VA	5.521460917862246
with	OL	5.521460917862246
겹치	VV	5.521460917862246
곧	MAG	5.521460917862246
투데이	NNG	5.521460917862246
부자연스럽	VA	5.521460917862246
음의	NNG	5.521460917862246
획득	NNG	5.521460917862246
거듭	MAG	5.521460917862246
문학	NNG	5.521460917862246
03	NR	5.521460917862246
미러	NNGJ	5.521460917862246
비허	NNG	5.521460917862246
비호	NNG	5.521460917862246
챔버	NNPJ	5.521460917862246
갈리	VV	5.521460917862246
꼬챙이	NNGJ	5.521460917862246
뒤섞이	VV	5.521460917862246
한국식	NNG	5.521460917862246
락	NNG	5.521460917862246
변	NNG	5.521460917862246
선생	NNG	5.521460917862246
캡스	NNP	5.521460917862246
솥뚜껑	NNGJ	5.521460917862246
가능성	NNGJ	5.521460917862246
탐방	NNG	5.521460917862246
태우	VV	5.521460917862246
벼	NNGJ	5.521460917862246
결제	NNGJ	5.521460917862246
체인	NNG	5.521460917862246
주변	NNGJ	5.521460917862246
칭하	VV	5.521460917862246
학우	NNG	5.521460917862246
분화	NNGJ	5.521460917862246
당신	NPJ	5.521460917862246
굉장히	MAG	5.521460917862246
기존	NNG	5.521460917862246
촛점	NNGJ	5.521460917862246
반짝이	VV	5.521460917862246
말르	VV	5.521460917862246
캠프장	NNGJ	5.521460917862246
환경부	NNGJ	5.521460917862246
강의	NNGJ	5.521460917862246
이끌리	VV	5.521460917862246
후자	NNGJ	5.521460917862246
쓸	VV	5.521460917862246
지원	NNG	5.521460917862246
캠퍼스	NNG	5.521460917862246
이따	MAG	5.521460917862246
하지	NNGJ	5.521460917862246
높임	NNG	5.521460917862246
본용언	NNG	5.521460917862246
남행	NNG	5.521460917862246
of	OL	5.521460917862246
1945	NR	5.521460917862246
초등	NNG	5.521460917862246
끄떡없	VA	5.521460917862246
제출	NNG	5.521460917862246
찢어지	VV	5.521460917862246
여러분	NPJ	5.521460917862246
망	NNGJ	5.521460917862246
276	NR	5.521460917862246
psychiatry	OL	5.521460917862246
조해	NNG	5.521460917862246
새파랗	VA	5.521460917862246
착하	VV	5.521460917862246
whom	OL	5.521460917862246
구역	NNG	5.521460917862246
비적	NNG	5.521460917862246
문예란	NNG	5.521460917862246
제기	NNG	5.521460917862246
김치	NNGJ	5.521460917862246
삼죽면	NNPJ	5.521460917862246
일치	NNG	5.521460917862246
Hong	OL	5.521460917862246
요라	NNGJ	5.521460917862246
사항	NNGJ	5.521460917862246
페이퍼	NNG	5.521460917862246
도서	NNGJ	5.521460917862246
까다롭	VA	5.521460917862246
어둡	VA	5.521460917862246
선명도	NNG	5.521460917862246
쓸리	VV	5.521460917862246
출판	NNG	5.521460917862246
프로세스	NNGJ	5.521460917862246
깔끔	MAG	5.521460917862246
둘르	VV	5.521460917862246
탐관	NNG	5.521460917862246
포항시	NNP	5.521460917862246
투약	NNG	5.521460917862246
느끼	VV	5.521460917862246
억제	NNG	5.521460917862246
Yulgok-ro	OLJ	5.521460917862246
이리	MAG	5.521460917862246
멈추	VV	5.521460917862246
비열	NNG	5.521460917862246
강당	NNG	5.521460917862246
부치	VV	5.521460917862246
제도적	NNGJ	5.521460917862246
사동	NNPJ	5.521460917862246
체증	NNG	5.521460917862246
연주가	NNG	5.521460917862246
칼	NNG	5.521460917862246
전체적	NNGJ	5.521460917862246
일쑤	NNG	5.521460917862246
재정	NNG	5.521460917862246
괄호	NNGJ	5.521460917862246
본질적	NNG	5.521460917862246
아무개	NP	5.521460917862246
언론사	NNGJ	5.521460917862246
체언	NNG	5.521460917862246
늘어나	VV	5.521460917862246
이인	NNG	5.521460917862246
첨단	NNG	5.521460917862246
신자	NNGJ	5.521460917862246
어근	NNGJ	5.521460917862246
끗	NNMJ	5.521460917862246
윗	NNG	5.521460917862246
물음	NNGJ	5.521460917862246
여건	NNGJ	5.521460917862246
골탕	NNG	5.521460917862246
집행	NNG	5.521460917862246
매개	NNGJ	5.521460917862246
양성	NNG	5.521460917862246
운의	NNG	5.521460917862246
케이	NNGJ	5.521460917862246
supermarket	OL	5.521460917862246
기어올라가	VV	5.521460917862246
설날	NNG	5.521460917862246
저물녘	NNG	5.521460917862246
늑막염	NNG	5.521460917862246
Samuel	OL	5.521460917862246
옛것	NNGJ	5.521460917862246
지구	NNGJ	5.521460917862246
아가	NNG	5.521460917862246
대전	NNG	5.521460917862246
문어체	NNGJ	5.521460917862246
새벽녘	NNG	5.521460917862246
반점	NNG	5.521460917862246
새빨갛	VA	5.521460917862246
감흥	NNGJ	5.521460917862246
Henrik	OL	5.521460917862246
편성	NNGJ	5.521460917862246
과녁	NNGJ	5.521460917862246
하위	NNG	5.521460917862246
맨	MDT	5.521460917862246
무	NNG	5.521460917862246
예가	NNG	5.521460917862246
티	VV	5.521460917862246
장구	NNG	5.521460917862246
요컨대	MAG	5.521460917862246
밀려오	VV	5.521460917862246
조어법	NNGJ	5.521460917862246
체재	NNGJ	5.521460917862246
식혜	NNG	5.521460917862246
평형	NNGJ	5.521460917862246
납품	NNG	5.521460917862246
주란	NNG	5.521460917862246
드라이	NNG	5.521460917862246
고급	NNG	5.521460917862246
이건	NNP	5.521460917862246
지내	MAG	5.521460917862246
pronounced	OL	5.521460917862246
진실	NNGJ	5.521460917862246
연습	NNGJ	5.521460917862246
뒤척이	VV	5.521460917862246
눈앞	NNGJ	5.521460917862246
물러가	VV	5.521460917862246
달의	NNG	5.521460917862246
못	NNG	5.521460917862246
참사	NNGJ	5.521460917862246
남	VV	5.521460917862246
관리자	NNG	5.521460917862246
내면	NNPJ	5.521460917862246
우렁쉥이	NNGJ	5.521460917862246
원시	NNG	5.521460917862246
부러워하	VV	5.521460917862246
깍두기	NNGJ	5.521460917862246
깨	NNG	5.521460917862246
반기	VV	5.521460917862246
비밀	NNG	5.521460917862246
파악	NNG	5.521460917862246
차라리	MAG	5.521460917862246
시설	NNG	5.521460917862246
잊어버리	VV	5.521460917862246
품	NNGJ	5.521460917862246
밝히	MAG	5.521460917862246
칫솔	NNGJ	5.521460917862246
뒷사람	NNGJ	5.521460917862246
해지	VV	5.521460917862246
영조물	NNG	5.521460917862246
Karolinska	OL	5.521460917862246
원래	MAG	5.521460917862246
구일	NNG	5.521460917862246
구례	NNG	5.521460917862246
열	VV	5.521460917862246
사회적	NNG	5.521460917862246
전셋집	NNG	5.521460917862246
고마	MAG	5.521460917862246
출판물	NNGJ	5.521460917862246
준비	NNG	5.521460917862246
추첨	NNGJ	5.521460917862246
기차	NNG	5.521460917862246
고수	NNG	5.521460917862246
성함	NNGJ	5.521460917862246
가수	NNG	5.521460917862246
숫자	NNG	5.521460917862246
금방	MAG	5.521460917862246
꽂	VV	5.521460917862246
절충	NNG	5.521460917862246
개정안	NNGJ	5.521460917862246
체육관	NNG	5.521460917862246
최선	NNGJ	5.521460917862246
間間	OH	5.521460917862246
향신료	NNGJ	5.521460917862246
하늘	NNGJ	5.521460917862246
